screen_id,screen_name,orientation,screen_width,screen_height,audience_id,ad_unit_id,venue_id,venue_name,venue_street,venue_city,venue_zip,venue_latitude,venue_longitude,dma_code,open_time,close_time
cf27913d-daf1-4b4e-abd5-f2ee9024c450,Fall River Main,Landscape,1920,1080,,,8da827a2-61f6-4333-8adc-f12877c7e5d5,Driscoll Skating Arena,272 Elsbree Street,Fall River,,41.7135195,-71.1290693,,6:00 AM,1:00 AM
0603384f-fcc2-48b2-8e98-4a6f04d6a79e,Fall River Portrait Left,Portrait,1080,1920,,,8da827a2-61f6-4333-8adc-f12877c7e5d5,Driscoll Skating Arena,272 Elsbree Street,Fall River,,41.7135195,-71.1290693,,6:00 AM,1:00 AM
099fb9a0-38c0-4989-adcb-69e04c9a61db,Fall River Portrait Right,PortraitLeft,1080,1920,,,8da827a2-61f6-4333-8adc-f12877c7e5d5,Driscoll Skating Arena,272 Elsbree Street,Fall River,,41.7135195,-71.1290693,,6:00 AM,1:00 AM
b9f51a1d-c087-4e22-a565-27f68000afee,Fall River Rental,Portrait,1080,1920,,,8da827a2-61f6-4333-8adc-f12877c7e5d5,Driscoll Skating Arena,272 Elsbree Street,Fall River,,41.7135195,-71.1290693,,6:00 AM,1:00 AM
18b37b36-3e7b-47ef-ab18-dab83476ad75,Fall River Rental,Portrait,1080,1920,,,8da827a2-61f6-4333-8adc-f12877c7e5d5,Driscoll Skating Arena,272 Elsbree Street,Fall River,,41.7135195,-71.1290693,,6:00 AM,1:00 AM
6bb2bfd0-5dd9-4018-8177-6b103427dd77,Fall River Snack,Portrait,1080,1920,,,8da827a2-61f6-4333-8adc-f12877c7e5d5,Driscoll Skating Arena,272 Elsbree Street,Fall River,,41.7135195,-71.1290693,,6:00 AM,1:00 AM
37914f22-63d0-4e48-825f-d9d5d030d594,Essex Lobby,Landscape,1920,1080,,,96a315a2-ad4f-462a-961b-74e7ce6e4913,Essex Sports Center,15 Manning Avenue,Middleton,,42.596286,-70.9804994,,6:00 AM,1:00 AM
0120bdd3-76c4-4d20-8c0f-20ab4411dc65,Essex Rink Screen,Landscape,1920,1080,,,96a315a2-ad4f-462a-961b-74e7ce6e4913,Essex Sports Center,15 Manning Avenue,Middleton,,42.596286,-70.9804994,,6:00 AM,1:00 AM
9849e57b-3762-4427-b509-ce131bfbcc4b,Essex Turf Field,PortraitLeft,1080,1920,,,96a315a2-ad4f-462a-961b-74e7ce6e4913,Essex Sports Center,15 Manning Avenue,Middleton,,42.596286,-70.9804994,,6:00 AM,1:00 AM
4e131fd8-7fa6-4750-b198-8ce0ebf5b145,Holyoke Main TV,Landscape,1920,1080,,,6fa5ce1f-bcf6-4f45-84ed-f3b546f5a3b4,Fitzpatrick Skating Arena,575 Maple Street,Holyoke,,42.1976388,-72.620014,,6:00 AM,1:00 AM
c22a326e-52cb-4f57-8c74-c05e210a1214,Holyoke Portrait Left,PortraitLeft,1080,1920,,,6fa5ce1f-bcf6-4f45-84ed-f3b546f5a3b4,Fitzpatrick Skating Arena,575 Maple Street,Holyoke,,42.1976388,-72.620014,,6:00 AM,1:00 AM
93f7e83f-2fdb-42d7-a0f3-ead3d11b49a8,Holyoke Portrait Right,Portrait,1080,1920,,,6fa5ce1f-bcf6-4f45-84ed-f3b546f5a3b4,Fitzpatrick Skating Arena,575 Maple Street,Holyoke,,42.1976388,-72.620014,,6:00 AM,1:00 AM
5c71e8f3-5f29-4bff-aa3a-141176682da0,Holyoke Rental,Portrait,1080,1920,,,6fa5ce1f-bcf6-4f45-84ed-f3b546f5a3b4,Fitzpatrick Skating Arena,575 Maple Street,Holyoke,,42.1976388,-72.620014,,6:00 AM,1:00 AM
9ebbed26-3bc1-4d77-b94f-e459e41c79ae,Holyoke Snack Bar Left,Landscape,1920,1080,,,6fa5ce1f-bcf6-4f45-84ed-f3b546f5a3b4,Fitzpatrick Skating Arena,575 Maple Street,Holyoke,,42.1976388,-72.620014,,6:00 AM,1:00 AM
19308c40-ed83-425f-bd7b-09170482e1ac,Holyoke Snack Bar Right,Landscape,1920,1080,,,6fa5ce1f-bcf6-4f45-84ed-f3b546f5a3b4,Fitzpatrick Skating Arena,575 Maple Street,Holyoke,,42.1976388,-72.620014,,6:00 AM,1:00 AM
6ccf3abf-2d57-4b7a-bdfc-0ef76eb8ba4f,FMC Office - Courtney,Portrait,1080,1920,,,fd3b701a-174f-42ee-90a6-9cac58cd1e14,FMC Office,"100 Schoosett Street, Bldg 3",Pembroke,,42.1047,-70.79462,,6:00 AM,11:00 PM
ec22c726-fc30-4a41-8e84-996f82d3b3cb,Foxboro Sports - Mezzanine,Landscape,1920,1080,,,c58c331d-2334-43fd-a1e2-52e4e3122c94,Foxboro Sports Center,10 East Belcher Road,Foxborough,,42.0621103,-71.2285803,,6:00 AM,1:00 AM
995b941d-aa46-439d-a2b8-fe237787767b,Foxboro Sports - Rink 1*,Landscape,1920,1080,,,c58c331d-2334-43fd-a1e2-52e4e3122c94,Foxboro Sports Center,10 East Belcher Road,Foxborough,,42.0621103,-71.2285803,,6:00 AM,1:00 AM
caf88308-ccb9-4aa3-9d45-560da165b6b0,Foxboro Sports - Rink 2*,Landscape,1920,1080,,,c58c331d-2334-43fd-a1e2-52e4e3122c94,Foxboro Sports Center,10 East Belcher Road,Foxborough,,42.0621103,-71.2285803,,6:00 AM,1:00 AM
028c4725-99d0-487a-a30f-160361246549,Foxboro Sports - Rink 3*,Landscape,1920,1080,,,c58c331d-2334-43fd-a1e2-52e4e3122c94,Foxboro Sports Center,10 East Belcher Road,Foxborough,,42.0621103,-71.2285803,,6:00 AM,1:00 AM
